PAIR of
Id1 Id2
75801 92291
75938 88734
75940 80037
76083 87125
76430 81843
76628 90724
76966 82962
77171 90643
77894 87009
78526 91166
78718 81656
79200 79978
79274 88912
79503 89485
79736 82138
80057 80274
80953 85087
81408 86062
82350 88575
82428 89185
82561 91500
82760 82811
83381 86661
83657 89903
83726 90642
83915 84901
85173 86819
85598 87539
87158 90758
88001 90496
89880 92445
91052 92588
91976 92131
